과목,회차,제목,문항수,문항배점,만점,통과선,오답감점,미응답,재시험문항,데이터파일,문제PDF,해설PDF,소스,메타정합
화학I,1,화학1 누적 OX 1회,60,1.6667,100,80,0,0,3,round_ch1_01.json,munje_ch1_round01.pdf,haeseol_ch1_round01.pdf,appdata,OK
화학I,2,화학1 누적 OX 2회,60,1.6667,100,80,0,0,3,round_ch1_02.json,munje_ch1_round02.pdf,haeseol_ch1_round02.pdf,appdata,OK
화학I,3,화학1 누적 OX 3회,60,1.6667,100,80,0,0,3,round_ch1_03.json,munje_ch1_round03.pdf,haeseol_ch1_round03.pdf,appdata,OK
화학I,4,화학1 누적 OX 4회,60,1.6667,100,80,0,0,3,round_ch1_04.json,munje_ch1_round04.pdf,haeseol_ch1_round04.pdf,appdata,OK
화학I,5,화학1 누적 OX 5회,60,1.6667,100,80,0,0,3,round_ch1_05.json,munje_ch1_round05.pdf,haeseol_ch1_round05.pdf,appdata,OK
화학I,6,화학1 누적 OX 6회,60,1.6667,100,80,0,0,3,round_ch1_06.json,munje_ch1_round06.pdf,haeseol_ch1_round06.pdf,appdata,OK
화학I,7,화학1 누적 OX 7회,60,1.6667,100,80,0,0,3,round_ch1_07.json,munje_ch1_round07.pdf,haeseol_ch1_round07.pdf,appdata,OK
화학I,8,화학1 누적 OX 8회,60,1.6667,100,80,0,0,3,round_ch1_08.json,munje_ch1_round08.pdf,haeseol_ch1_round08.pdf,appdata,OK
화학I,9,화학1 누적 OX 9회,60,1.6667,100,80,0,0,3,round_ch1_09.json,munje_ch1_round09.pdf,haeseol_ch1_round09.pdf,appdata,OK
화학I,10,화학1 누적 OX 10회,60,1.6667,100,80,0,0,3,round_ch1_10.json,munje_ch1_round10.pdf,haeseol_ch1_round10.pdf,appdata,OK
화학I,11,화학1 누적 OX 11회,60,1.6667,100,80,0,0,3,round_ch1_11.json,munje_ch1_round11.pdf,haeseol_ch1_round11.pdf,appdata,OK
화학I,12,화학1 누적 OX 12회,60,1.6667,100,80,0,0,3,round_ch1_12.json,munje_ch1_round12.pdf,haeseol_ch1_round12.pdf,appdata,OK
화학I,13,화학1 누적 OX 13회,60,1.6667,100,80,0,0,3,round_ch1_13.json,munje_ch1_round13.pdf,haeseol_ch1_round13.pdf,appdata,OK
화학I,14,화학1 누적 OX 14회,60,1.6667,100,80,0,0,3,round_ch1_14.json,munje_ch1_round14.pdf,haeseol_ch1_round14.pdf,appdata,OK
화학I,15,화학1 누적 OX 15회,60,1.6667,100,80,0,0,3,round_ch1_15.json,munje_ch1_round15.pdf,haeseol_ch1_round15.pdf,appdata,OK
화학I,16,화학1 누적 OX 16회,60,1.6667,100,80,0,0,3,round_ch1_16.json,munje_ch1_round16.pdf,haeseol_ch1_round16.pdf,appdata,OK
화학I,17,화학1 누적 OX 17회,60,1.6667,100,80,0,0,3,round_ch1_17.json,munje_ch1_round17.pdf,haeseol_ch1_round17.pdf,appdata,OK
화학I,18,화학1 누적 OX 18회,60,1.6667,100,80,0,0,3,round_ch1_18.json,munje_ch1_round18.pdf,haeseol_ch1_round18.pdf,appdata,OK
화학II,1,화학2 누적 OX 1회,60,1.6667,100,80,0,0,3,round_ch2_01.json,munje_ch2_round01.pdf,haeseol_ch2_round01.pdf,appdata,OK
화학II,2,화학2 누적 OX 2회,60,1.6667,100,80,0,0,3,round_ch2_02.json,munje_ch2_round02.pdf,haeseol_ch2_round02.pdf,appdata,OK
화학II,3,화학2 누적 OX 3회,60,1.6667,100,80,0,0,3,round_ch2_03.json,munje_ch2_round03.pdf,haeseol_ch2_round03.pdf,appdata,OK
화학II,4,화학2 누적 OX 4회,60,1.6667,100,80,0,0,3,round_ch2_04.json,munje_ch2_round04.pdf,haeseol_ch2_round04.pdf,appdata,OK
화학II,5,화학2 누적 OX 5회,60,1.6667,100,80,0,0,3,round_ch2_05.json,munje_ch2_round05.pdf,haeseol_ch2_round05.pdf,appdata,OK
화학II,6,화학2 누적 OX 6회,60,1.6667,100,80,0,0,3,round_ch2_06.json,munje_ch2_round06.pdf,haeseol_ch2_round06.pdf,appdata,OK
화학II,7,화학2 누적 OX 7회,60,1.6667,100,80,0,0,3,round_ch2_07.json,munje_ch2_round07.pdf,haeseol_ch2_round07.pdf,embedded,OK
