M00331	중간	같은 주기 원자 반지름 대소	주기 경향
M00332	중간	같은 족 원자 반지름 경향	족 경향
M00333	중간	양이온이 될 때 크기 변화	양이온 크기
M00334	중간	음이온이 될 때 크기 변화	음이온 크기
M00335	중간	주기에서 반지름 감소의 이유	주기 감소 이유
M00336	중간	등전자 이온의 크기 비교	등전자 크기
M00337	중간	같은 원소 원자·이온 3자 크기 순서	3자 순서
M00338	어려움	대각선 위치 원소의 크기 판정	대각선 판정
M00339	어려움	등전자 이온 3종 크기 순서	등전자 순서
M00340	중간	원자 크기를 결정하는 두 요인	크기 요인
M00341	중간	유효 핵전하의 의미	유효 핵전하 정의
M00342	중간	주기표 위치로 크기 추론	위치 추론
M00343	중간	주기별 반지름 그래프 모양	그래프 해석
M00344	중간	족 경향 주장의 오류 판정	모순 판정
M00345	중간	원자 반지름을 정하는 방법	반지름 정의
M00346	어려움	등전자 5종 중 순위 판정	등전자 5종
M00347	중간	경향이 상충할 때의 비교 방법	상충 해소
M00348	중간	양이온화 시 크기 급감의 이유	급감 이유
M00349	어려움	크기 비교 답안 첨삭(결론·이유 분리)	첨삭 분리
M00350	중간	원자·이온 크기 종합 판정(350)	350 종합
M00351	중간	같은 원소 양이온 전하별 크기	전하별 크기
M00352	중간	크기 진술의 정오 개수 세기	채점 개수
M00353	어려움	등전자 순서 답안의 오류 판정	모순 판정
M00354	중간	같은 주기 유효 핵전하 비교	유효핵전하 정량
M00355	중간	동위원소의 크기 비교	동위 크기
M00356	중간	크기 논쟁 대화 판정	논쟁 판정
M00357	중간	같은 주기 금속·비금속 크기	금속 크기
M00358	중간	크기 순서로 원자번호 추론	순서 역추론
M00359	중간	F가 Cl보다 작은 이유	이유 판정
M00360	어려움	원자·이온 크기 종합 최소 색출(360)	360 종합
M00361	중간	원자 반지름 단위 환산(Å→pm)	단위 환산
M00362	중간	원자 반지름 단위 환산(nm→pm)	단위 환산
M00363	중간	원자와 원자핵 크기 비율	원자핵 비율
M00364	쉬움	원자 지름과 반지름의 관계	지름 반지름
M00365	중간	이온이 될 때 관여하는 전자	원자가전자
M00366	중간	지름 pm를 반지름 Å로 환산	조합 환산
M00367	중간	두 원자 반지름의 비율	반지름 비율
M00368	중간	원자 크기와 최외각 전자 잃기	크기-반응성
M00369	중간	양이온 크기 논쟁 판정	논쟁 판정
M00370	중간	크기 진술 참거짓 판정	참거짓 판정
M00371	중간	서로 다른 단위의 크기 비교	혼합 단위 비교
M00372	중간	두 원자 반지름의 차	반지름 차
M00373	중간	이웃 원소 사이 반지름 추정	빈칸 범위
M00374	중간	경향이 일치할 때 크기 판정	경향 일치
M00375	중간	원자 크기 종합 정오 판별	종합 정오
M00376	중간	같은 족 양이온 크기 순서	이온 족경향
M00377	중간	이온화 시 반지름 감소율	감소율
M00378	중간	반지름과 부피의 관계	부피 배율
M00379	중간	전자 껍질 증가와 핵의 당김	가리움 효과
M00380	중간	크기로 이온 종류 추론	이온 추론
M00381	중간	같은 주기 유효 핵전하 순서	EFC 순서
M00382	중간	원자번호와 크기의 관계	Z↔크기
M00383	중간	유효 핵전하 근사 계산	EFC 근사
M00384	중간	같은 주기 크기로 원자번호 추론	주기 역추론
M00385	중간	원자 반지름이 가장 큰 위치	최대 위치
M00386	어려움	반지름 기록의 경향 위배 색출	이상값 색출
M00387	중간	원자 반지름과 이온 반지름의 구분	원자↔이온 반지름
M00388	중간	다른 위치 원자의 크기 일치 가능성	크기 일치
M00389	중간	반지름이 갑자기 커지는 이유	반지름 급증
M00390	중간	선분 길이 속 원자 개수 어림	선분 개수
M00391	중간	서로 다른 원자의 결합 거리	결합 거리
M00392	중간	일렬로 접한 원자들의 전체 길이	선형 배열
M00393	중간	같은 원소 원자의 결합 거리	같은원소 결합
M00394	중간	전자 배치로 원자 크기 비교	배치 비교
M00395	중간	원자핵 축척 모형 환산	축척 모형
M00396	중간	전자 배치로 크기 비교(같은 족)	배치 비교(족)
M00397	중간	반지름 차이로 껍질 수 추론	껍질 추론
M00398	중간	결합 거리로 반지름 역산	결합 역산
M00399	중간	원자를 맨눈으로 볼 수 없는 이유	크기 스케일
M00400	중간	중성자가 원자 크기에 무관한 이유(400)	400 종장
M00401	어려움	크기 답안 첨삭(결론·이유 모두)	첨삭2
M00402	중간	일렬 결합한 세 원자의 끝 거리	사슬 결합
M00403	중간	이온화 후 전자 배치와 크기	배치 이온화
M00404	중간	크기 증가 두 방향의 이유	방향 이유
M00405	어려움	원자와 원자핵의 부피 비	부피 비
M00406	어려움	자료표로 같은 족 원소 판별	족메이트 판별
M00407	중간	원자 크기의 공간 비유	공간 비유
M00408	중간	자료로 두 원소 관계 분류	관계 분류
M00409	중간	반지름 그래프의 봉우리 위치	그래프 봉우리
M00410	중간	자료가 뒷받침하는 결론의 범위	근거 범위
M00411	중간	자료의 경향으로 다음 값 예측	외삽 예측
M00412	중간	두 주기 반지름 곡선 비교	곡선 비교
M00413	어려움	동종 결합 거리로 이종 결합 예측	동종→이종
M00414	중간	원자 크기의 중첩 비유	중첩 비유
M00415	중간	반지름의 평균 변화율 계산	평균 변화율
M00416	중간	반지름 자료의 중앙값 찾기	중앙값
M00417	중간	단위가 뒤섞인 크기 비교	혼재 비교표
M00418	중간	이온 반지름 자료로 원자번호 추론	이온 자료 추론
M00419	중간	정사각형에 채운 원자 개수	2D 채우기
M00420	중간	원자를 보이게 하는 확대 배율	가시화 배율
M00421	어려움	두 자료 배열 기준 판별	자료 분류
M00422	중간	자료의 연속 증가량 비교	증가량 비교
M00423	어려움	결합 거리와 비율로 반지름 구하기	결합 연립
M00424	중간	정육면체에 채운 원자 개수	3D 채우기
M00425	중간	원자에서 원자핵이 차지하는 비율	핵 점유 비율
M00426	중간	크기와 질량의 독립성 판별	크기-질량 독립
M00427	중간	같은 족 자료의 경향 위배 색출	족 자료 예외
M00428	어려움	세 결합 거리로 반지름 구하기	3결합 연립
M00429	중간	부피 비로 반지름 비 구하기	부피비 역산
M00430	중간	같은 주기 이웃 사이 반지름 추정	주기 보간
M00431	중간	등전자 이온의 유효 핵전하 비교	등전자 EFC
M00432	중간	등전자 이온 반지름 자료의 규칙	등전자 자료
M00433	어려움	중성 원자를 포함한 등전자 크기 순서	중성 포함 순서
M00434	중간	측정 오차를 고려한 크기 비교	측정 오차
M00435	어려움	등전자와 같은 족의 크기 차이 원인	원인 대조
M00436	중간	자료로 빠진 등전자 이온 찾기	등전자 빈칸
M00437	중간	반지름과 원의 단면적 관계	단면적
M00438	중간	결합 거리 비교로 반지름 대소 추론	결합 대소
M00439	중간	여러 원자를 늘어놓은 총 길이	총 길이
M00440	중간	원자가 비었는데 단단한 이유	빈공간 단단함
M00441	어려움	자료표에서 같은 족 원소 묶기	족 클러스터링
M00442	중간	주기 내 두 지점 감소량 비교	국소 기울기
M00443	중간	반비례 주장 첨삭	첨삭3
M00444	중간	결합 거리의 백분율로 반지름 구하기	결합 백분율
M00445	중간	반복 측정값의 평균 구하기	반복 평균
M00446	중간	등전자 이온의 크기 차이 비교	등전자 증가량
M00447	중간	결합 거리와 반지름의 관계	관계 그래프
M00448	어려움	굽은 분자에서 원자 사이 거리	분자 기하
M00449	중간	반지름 정의 논쟁 판정	정의 논쟁
M00450	중간	원자·이온 크기 종합 오류 색출(450)	450 종장
M00451	중간	이상값을 제외한 평균 구하기	이상값 평균
M00452	중간	반지름 그래프 봉우리들의 경향	봉우리 포락선
M00453	어려움	정사각형 대각선으로 변 거리 구하기	역기하
M00454	중간	음이온이 커지는 기제	음이온 기제
M00455	중간	측정 도구 정밀도에 맞춘 보고	정밀도 반올림
M00456	중간	일렬 배열 길이로 반지름 역산	배열 역산
M00457	중간	반지름 그래프 두 곡선의 간격 의미	곡선 간격
M00458	중간	반지름 비율로 결합 거리 구하기	비율 결합
M00459	중간	반지름 합 규칙의 한계 판정	규칙 한계
M00460	중간	원자 크기와 물질 부피의 관계	크기≠부피
M00461	중간	동종 결합 거리로 원자 크기 순위	결합표 순위
M00462	어려움	원자와 이온이 섞인 크기 순위	혼합 4종 순위
M00463	어려움	정삼각형 배치의 중심까지 거리	무게중심 거리
M00464	어려움	주기·족 교차 답안 첨삭	교차 첨삭
M00465	중간	두 측정 방법의 일관성 해석	방법 일관성
M00466	어려움	원자 크기와 표면적/부피 비	표면적/부피
M00467	중간	원자 크기와 채울 수 있는 개수	개수 스케일
M00468	중간	측정값의 흩어짐과 정밀도	정밀도 비교
M00469	중간	이온 크기 변화 원인 논쟁	양성자 불변
M00470	어려움	상충 경향의 실측 우열 판정	우열 귀속
M00471	중간	크기와 이온화 경향의 공통 원인	공통 원인
M00472	중간	크기와 원자량의 상관·인과 구별	상관 인과
M00473	중간	굽은 물 분자에서 두 원자 거리	굽음 효과
M00474	어려움	60° 결합각 분자의 두 원자 거리	60° 기하
M00475	중간	위치로 최대·최소 원자 동시 판정	양 극단
M00476	중간	구의 부피 공식으로 원자 부피 계산	부피 공식
M00477	중간	원자 크기와 결합 길이의 관계	결합 길이
M00478	중간	이상값에 강한 대푯값 고르기	강건성
M00479	중간	전자 수와 크기 오개념 판정	전자수 오개념
M00480	어려움	원자 부피로 반지름 역산	부피 역산
M00481	어려움	가리움 일정할 때 유효 핵전하 변화	가리움 일정
M00482	중간	원자 크기와 결합 세기의 관계	결합 세기
M00483	중간	두 결합 거리로 반지름 차 구하기	결합차 반지름
M00484	어려움	양이온과 음이온 크기 보편성 판정	보편성 오류
M00485	중간	크기가 같으면 같은 족인지 판정	추론 한계
M00486	중간	크기와 이온 형성 경향의 연결	이온 형성
M00487	중간	반지름이 가장 비슷한 원소 찾기	최근접 매칭
M00488	어려움	선형과 굽은 분자의 끝 원자 거리	선형vs굽음
M00489	중간	원자·이온 크기 오류 색출(2)	오류색출2
M00490	중간	원자 반지름과 관계가 먼 개념	무관 색출
M00491	어려움	네 위치의 원자 크기 완전 순위	완전 순위
M00492	중간	결합 거리에서 한 원자가 차지하는 비율	결합 비율
M00493	어려움	크기 극단 차이가 나는 이유	효과 겹침
M00494	중간	원자 반지름 종합 이해(종장)	T2 종장
